Year,Station ID,County,Signing,State Route,County Road,Road Name,Beginning Description,Ending Description,Municipality,Length,Functional Class,Ramp,Bridge,Railroad Crossing,One Way,Count,address,latitude2,longitude2
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
