Year,Station ID,County,Signing,State Route,County Road,Road Name,Beginning Description,Ending Description,Municipality,Length,Functional Class,Ramp,Bridge,Railroad Crossing,One Way,Count,address,latitude2,longitude2
2019,42042,New York,,,,E 6TH ST,COOPER SQ,FDR DRIVE,Manhattan,97,17,,,,Y,3431.0,Manhattan E 6TH ST COOPER SQ FDR DRIVE,40.7283724,-73.9908527
2019,42043,New York,,,,SPRING ST,WEST ST,BOWERY,Manhattan,99,16,,,,Y,4875.0,Manhattan SPRING ST WEST ST BOWERY,40.7210241,-73.9940102
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42044,New York,,,,W 19TH ST,FIFTH AVE,TENTH AVE,Manhattan,88,17,,,,Y,6852.0,Manhattan W 19TH ST FIFTH AVE TENTH AVE,40.7390996,-73.9913803
2019,42045,New York,,,,W 18TH ST,ELEVENTH AVE,FIFTH AVE,Manhattan,98,17,,,,Y,5088.0,Manhattan W 18TH ST ELEVENTH AVE FIFTH AVE,40.7455186,-74.0083058
2019,42046,New York,,,,E 79TH ST,FIFTH AVE,FDR DRIVE,Manhattan,96,16,,,,,15826.0,Manhattan E 79TH ST FIFTH AVE FDR DRIVE,40.7770247,-73.963712
2019,42047,New York,,,,W 17TH ST,FIFTH AVE,ELEVENTH AVE,Manhattan,96,17,,,,Y,5556.0,Manhattan W 17TH ST FIFTH AVE ELEVENTH AVE,40.7379164,-73.9922246
2019,42048,New York,,,,W 16TH ST,ELEVENTH AVE,FIFTH AVE,Manhattan,94,17,,,,Y,5436.0,Manhattan W 16TH ST ELEVENTH AVE FIFTH AVE,40.7440351,-74.0085773
2019,42049,New York,,,,W 15TH ST,ELEVENTH AVE,FIFTH AVE,Manhattan,92,17,,,,Y,5089.0,Manhattan W 15TH ST ELEVENTH AVE FIFTH AVE,40.7432016,-74.0087376
2019,42050,New York,,,,E 116TH ST,FIFTH AVE,FDR DRIVE,Manhattan,92,16,,,,,13301.0,Manhattan E 116TH ST FIFTH AVE FDR DRIVE,40.80066679999999,-73.94646399999999
2019,42051,New York,,,,MERCER ST,CANAL ST,E 8TH ST,Manhattan,91,16,,,,Y,4935.0,Manhattan MERCER ST CANAL ST E 8TH ST,40.7255525,-73.9978453
2019,42052,New York,,,,HENRY ST,OLIVER ST,GRAND ST,Manhattan,90,16,,,,,3359.0,Manhattan HENRY ST OLIVER ST GRAND ST,40.7127228,-73.997996
2019,42053,New York,,,,MOTT ST,WORTH ST,BLEECKER ST,Manhattan,89,16,,,,Y,3314.0,Manhattan MOTT ST WORTH ST BLEECKER ST,40.7265392,-73.99959799999999
